Student ID,student_name,gender,grade,reading_score,math_score,school_name
62,Robert Miller,F,9th,74.58,69.09,Huang High School
63,Richard Anderson,F,11th,71.99,60.43,Huang High School
64,David Brown,M,9th,100.0,75.57,Huang High School
65,Richard Miller,M,12th,52.68,27.12,Huang High School
66,Charles Johnson,F,10th,77.73,48.77,Huang High School
67,Elizabeth Gonzalez,M,10th,54.72,58.23,Huang High School
68,Jennifer Lopez,M,9th,88.56,57.01,Huang High School
69,Barbara Martin,F,11th,87.34,69.84,Huang High School
70,David Miller,M,10th,89.62,84.33,Huang High School
71,James Smith,F,11th,65.0,81.86,Huang High School
72,Karen Gonzalez,M,10th,71.19,85.83,Huang High School
73,William Williams,F,9th,78.9,80.47,Huang High School
74,Michael Garcia,F,10th,75.52,60.04,Huang High School
75,Linda Rodriguez,M,12th,78.56,64.42,Huang High School
76,Robert Smith,M,9th,67.05,77.31,Huang High School
77,Charles Martinez,M,9th,59.77,63.4,Huang High School
78,Barbara Anderson,F,12th,66.73,78.42,Huang High School
79,William Martin,M,9th,96.41,80.88,Huang High School
80,Thomas Taylor,F,10th,90.2,72.85,Huang High School
81,Karen Lopez,F,12th,82.94,90.26,Huang High School
82,Michael Johnson,M,11th,88.54,55.91,Huang High School
83,John Taylor,F,12th,63.49,69.98,Huang High School
84,Robert Taylor,F,10th,94.0,80.8,Huang High School
85,Thomas Taylor,F,11th,52.82,29.76,Huang High School
86,Mary Johnson,M,9th,72.29,48.37,Huang High School
87,Robert Smith,M,11th,75.62,46.71,Huang High School
88,James Jackson,M,12th,47.47,76.25,Huang High School
89,Mary Lopez,M,9th,65.37,66.49,Huang High School
90,Jennifer Brown,M,12th,76.13,54.6,Huang High School
91,David Taylor,M,12th,33.95,59.02,Huang High School
92,Jennifer Jones,M,12th,53.3,59.88,Huang High School
93,Karen Johnson,M,12th,70.76,80.43,Huang High School
94,Jennifer Hernandez,F,10th,67.93,81.01,Huang High School
95,Jessica Thomas,F,11th,55.45,59.05,Huang High School
96,James Rodriguez,M,12th,84.0,86.7,Huang High School
97,Jennifer Thomas,F,11th,97.1,60.89,Huang High School
98,John Martin,F,11th,68.39,92.29,Huang High School
99,Patricia Jackson,M,10th,65.12,73.97,Huang High School
100,John Jackson,M,12th,45.57,72.59,Huang High School
101,Karen Miller,M,12th,58.54,65.13,Huang High School
102,Karen Rodriguez,M,11th,41.42,87.24,Huang High School
103,James Davis,M,12th,45.46,74.8,Huang High School
104,Michael Moore,M,9th,77.12,73.34,Huang High School
105,Linda Smith,M,10th,77.1,50.14,Huang High School
106,David Moore,F,9th,72.57,64.89,Huang High School
107,Elizabeth Williams,M,9th,82.65,71.46,Huang High School
108,Michael Thomas,F,10th,86.21,82.46,Huang High School
109,Jessica Martin,F,12th,55.45,94.81,Huang High School
110,Thomas Johnson,M,12th,61.5,56.71,Huang High School
111,James Thomas,M,9th,90.34,69.45,Huang High School
112,Barbara Jones,F,12th,80.14,82.42,Huang High School
113,Robert Rodriguez,M,12th,85.61,84.88,Huang High School
114,William Williams,F,12th,71.06,48.61,Huang High School
115,Charles Thomas,F,11th,74.85,71.19,Huang High School
116,Jessica Williams,F,9th,68.67,85.57,Huang High School
117,Karen Smith,F,11th,81.24,36.2,Huang High School
118,Karen Hernandez,F,12th,66.14,39.12,Huang High School
119,Thomas Davis,M,10th,84.47,66.34,Huang High School
120,Patricia Garcia,F,12th,63.5,56.62,Huang High School
121,Linda Martin,F,9th,70.21,58.24,Huang High School
122,John Thomas,M,9th,48.93,57.06,Huang High School
123,John Moore,F,11th,44.74,44.09,Huang High School
124,Susan Moore,M,9th,83.07,69.06,Huang High School
125,Mary Williams,M,12th,64.29,70.68,Huang High School
126,Jessica Rodriguez,F,11th,80.43,75.17,Huang High School
127,Patricia Smith,M,12th,58.05,52.49,Huang High School
128,Patricia Smith,F,12th,69.28,80.83,Huang High School
129,Susan Thomas,F,9th,77.95,83.42,Huang High School
130,Karen Davis,F,10th,73.05,63.24,Huang High School
131,Michael Williams,F,11th,68.63,59.26,Huang High School
132,Thomas Smith,F,12th,74.04,64.34,Huang High School
133,Jessica Lopez,M,9th,85.03,91.88,Huang High School
134,Charles Wilson,M,9th,70.4,52.38,Huang High School
135,Jennifer Garcia,F,11th,74.96,68.85,Huang High School
136,Richard Jackson,F,12th,79.21,83.88,Huang High School
137,Linda Johnson,F,9th,69.23,83.86,Huang High School
138,James Anderson,F,9th,49.04,63.35,Huang High School
139,James Jones,M,11th,67.3,52.58,Huang High School
140,Jessica Jackson,F,12th,45.03,57.52,Huang High School
141,Patricia Williams,F,11th,56.64,63.28,Huang High School
142,Thomas Taylor,M,10th,65.69,78.96,Huang High School
143,Barbara Wilson,M,10th,92.41,65.14,Huang High School
144,Jennifer Williams,M,11th,74.69,52.02,Huang High School
145,William Jones,M,9th,61.22,56.82,Huang High School
146,Thomas Wilson,M,11th,67.17,52.24,Huang High School
147,John Smith,F,9th,71.82,81.57,Huang High School
148,Karen Smith,F,10th,60.59,47.42,Huang High School
149,John Moore,F,12th,100.0,94.27,Huang High School
150,Elizabeth Williams,F,11th,74.51,83.78,Huang High School
151,Linda Wilson,M,12th,75.55,50.02,Huang High School
152,Sarah Anderson,M,11th,79.05,83.02,Huang High School
153,Mary Martinez,M,10th,48.91,57.2,Huang High School
154,Mary Taylor,M,11th,78.26,31.06,Huang High School
155,Linda Smith,M,11th,79.56,57.78,Huang High School
156,William Hernandez,F,11th,70.64,33.36,Huang High School
157,Jessica Miller,F,12th,91.67,54.31,Huang High School
158,Elizabeth Williams,F,11th,69.56,51.84,Huang High School
159,Sarah Gonzalez,M,10th,70.69,68.41,Huang High School
160,Michael Brown,F,9th,76.95,81.28,Huang High School
161,Richard Martin,F,10th,70.1,62.07,Huang High School
162,James Davis,F,10th,75.92,64.31,Huang High School
163,Susan Thomas,M,11th,69.88,52.92,Huang High School
164,Susan Lopez,M,10th,64.39,59.19,Huang High School
165,Charles Anderson,M,11th,52.83,94.62,Huang High School
166,Mary Johnson,F,11th,69.47,70.94,Huang High School
167,Charles Taylor,F,9th,74.38,71.55,Huang High School
168,Karen Martinez,M,10th,48.75,64.02,Huang High School
169,Jennifer Anderson,F,10th,77.4,83.11,Huang High School
170,David Jones,F,11th,81.04,67.97,Huang High School
171,James Davis,F,11th,92.18,70.62,Huang High School
172,Barbara Lopez,F,9th,82.99,57.46,Huang High School
173,Robert Miller,M,12th,75.11,94.37,Huang High School
174,Patricia Garcia,F,11th,58.74,79.62,Huang High School
175,Richard Martin,M,9th,78.48,65.4,Huang High School
176,Joseph Williams,M,11th,63.78,79.56,Huang High School
177,Linda Martin,F,11th,60.11,64.97,Huang High School
178,Jessica Gonzalez,M,11th,70.36,52.9,Huang High School
179,Sarah Martinez,M,12th,66.39,59.68,Huang High School
180,Charles Taylor,F,12th,94.44,78.07,Huang High School
181,Charles Jones,M,11th,59.46,70.25,Huang High School
182,William Lopez,F,10th,85.07,74.54,Huang High School
183,James Smith,F,9th,65.7,53.91,Huang High School
184,Joseph Johnson,F,10th,87.06,65.64,Huang High School
185,Jessica Davis,F,10th,71.03,60.8,Huang High School
186,Richard Smith,F,9th,100.0,59.84,Huang High School
187,Jessica Miller,M,11th,100.0,61.1,Huang High School
188,Robert Williams,M,12th,66.73,66.0,Huang High School
189,Barbara Thomas,M,11th,52.18,83.44,Huang High School
190,Charles Jones,M,12th,100.0,70.66,Huang High School
191,Susan Jones,F,11th,76.14,58.73,Huang High School
192,Joseph Taylor,M,9th,56.48,77.44,Huang High School
193,Susan Martin,M,10th,58.45,56.03,Huang High School
194,Robert Lopez,F,10th,71.74,98.33,Huang High School
195,Jessica Thomas,F,10th,90.59,46.55,Huang High School
196,Michael Brown,M,10th,74.97,72.14,Huang High School
197,James Jones,F,9th,79.0,77.52,Huang High School
198,Elizabeth Jones,F,10th,67.35,71.25,Huang High School
199,Patricia Johnson,M,12th,77.94,70.98,Huang High School
200,Karen Martinez,M,9th,73.96,50.42,Huang High School
201,Charles Smith,M,10th,77.84,61.58,Huang High School
202,Robert Gonzalez,F,12th,62.7,100.0,Huang High School
203,Patricia Thomas,M,9th,74.08,83.5,Huang High School
204,Jessica Johnson,M,10th,38.81,94.89,Huang High School
205,Thomas Martin,M,10th,88.31,72.95,Huang High School
206,Barbara Moore,M,10th,57.73,78.21,Huang High School
207,John Smith,M,9th,65.17,70.09,Huang High School
208,James Jackson,M,9th,79.12,56.77,Huang High School
209,David Jones,M,10th,88.15,65.83,Huang High School
210,Barbara Williams,M,11th,75.6,42.35,Huang High School
211,James Smith,F,9th,59.81,64.17,Huang High School
212,Linda Martinez,F,12th,75.06,72.6,Huang High School
213,David Lopez,F,12th,91.78,52.31,Huang High School
214,Richard Lopez,F,11th,54.84,52.19,Huang High School
215,Susan Johnson,F,12th,62.57,62.59,Huang High School
216,Charles Moore,M,12th,63.21,94.93,Huang High School
217,John Taylor,M,12th,93.84,79.83,Huang High School
218,Linda Martinez,M,9th,79.57,57.05,Huang High School
219,Mary Jackson,F,12th,81.52,72.06,Huang High School
220,William Miller,F,11th,83.49,99.49,Huang High School
221,Patricia Moore,M,10th,81.87,66.66,Huang High School
222,Richard Hernandez,F,9th,94.05,56.67,Huang High School
223,Patricia Brown,M,9th,76.39,83.65,Huang High School
224,Elizabeth Jones,M,11th,66.49,49.32,Huang High School
225,William Williams,F,10th,82.48,53.72,Huang High School
226,Thomas Williams,M,9th,67.93,75.65,Huang High School
227,Jessica Brown,F,10th,47.48,38.46,Huang High School
228,Sarah Taylor,M,9th,65.22,86.49,Huang High School
229,Michael Jones,M,11th,72.76,57.23,Huang High School
230,Barbara Taylor,F,10th,94.41,89.95,Huang High School
231,Richard Williams,F,11th,77.1,82.87,Huang High School
232,William Taylor,F,10th,75.39,44.9,Huang High School
233,Thomas Martin,F,9th,90.92,96.1,Huang High School
234,Jessica Gonzalez,M,9th,73.5,68.56,Huang High School
235,Charles Taylor,M,12th,64.4,60.16,Huang High School
236,Patricia Lopez,M,12th,88.31,81.72,Huang High School
237,William Jackson,F,11th,67.3,59.67,Huang High School
238,Barbara Rodriguez,M,12th,95.8,81.83,Huang High School
239,Michael Wilson,F,10th,61.81,55.93,Huang High School
240,Karen Jackson,M,11th,71.06,95.86,Huang High School
241,Joseph Thomas,F,10th,70.54,76.0,Huang High School
242,Robert Williams,M,9th,65.8,64.63,Huang High School
243,Barbara Martin,M,12th,65.3,62.42,Huang High School
244,Patricia Thomas,M,9th,59.22,85.81,Huang High School
245,Michael Gonzalez,F,12th,100.0,79.79,Huang High School
246,Elizabeth Miller,F,9th,85.91,64.67,Huang High School
247,Susan Jones,M,12th,82.16,70.85,Huang High School
248,John Hernandez,M,10th,100.0,69.66,Huang High School
249,David Moore,M,9th,78.85,74.29,Huang High School
250,Joseph Lopez,F,12th,69.31,78.07,Huang High School
251,William Martinez,M,9th,73.81,100.0,Huang High School
252,Barbara Taylor,M,10th,88.52,53.88,Huang High School
253,Jennifer Miller,F,12th,33.62,58.73,Huang High School
254,Susan Gonzalez,M,9th,86.85,57.74,Huang High School
255,Linda Martinez,F,10th,100.0,83.05,Huang High School
256,William Moore,F,9th,52.13,52.47,Huang High School
257,Mary Jones,M,10th,58.04,97.41,Huang High School
258,Robert Garcia,M,12th,61.13,65.9,Huang High School
259,Charles Davis,F,11th,70.52,100.0,Huang High School
260,Jessica Gonzalez,M,10th,79.87,60.22,Huang High School
261,James Martin,F,10th,71.51,57.85,Huang High School
262,Thomas Miller,F,9th,93.46,66.55,Huang High School
263,Richard Brown,M,12th,85.49,65.78,Huang High School
264,Patricia Garcia,M,12th,84.71,69.36,Huang High School
265,Charles Lopez,M,9th,71.25,62.59,Huang High School
266,Michael Martinez,F,9th,57.15,43.13,Huang High School
267,Charles Miller,M,12th,71.3,67.96,Huang High School
268,John Gonzalez,F,9th,100.0,100.0,Huang High School
269,Richard Moore,F,11th,29.66,57.95,Huang High School
270,Karen Davis,F,9th,84.29,68.34,Huang High School
271,William Miller,F,11th,69.89,56.77,Huang High School
272,James Williams,M,9th,100.0,80.11,Huang High School
273,Richard Taylor,F,10th,68.86,49.85,Huang High School
274,James Garcia,F,12th,98.66,72.78,Huang High School
275,Jennifer Lopez,F,10th,73.02,73.36,Huang High School
276,Richard Gonzalez,M,10th,48.65,59.01,Huang High School
277,Joseph Thomas,F,9th,85.57,69.51,Huang High School
278,David Jones,M,12th,83.57,65.84,Huang High School
279,Patricia Williams,M,11th,59.02,71.19,Huang High School
280,Charles Martin,F,10th,66.46,64.78,Huang High School
281,Sarah Anderson,F,12th,46.77,56.98,Huang High School
282,William Taylor,M,10th,87.2,59.48,Huang High School
283,Susan Anderson,F,11th,76.96,78.56,Huang High School
284,James Williams,F,11th,79.48,70.71,Huang High School
285,Jessica Hernandez,M,11th,86.73,60.3,Huang High School
286,Barbara Martinez,M,10th,61.14,48.97,Huang High School
287,Jessica Davis,M,12th,64.45,59.63,Huang High School
288,Jennifer Lopez,M,11th,87.29,78.3,Huang High School
289,Linda Brown,F,9th,73.82,66.16,Huang High School
290,Linda Moore,M,12th,95.02,79.15,Huang High School
291,Robert Rodriguez,M,9th,63.1,73.31,Huang High School
292,Patricia Taylor,F,9th,64.14,65.7,Huang High School
293,William Smith,M,12th,82.99,60.46,Huang High School
294,Karen Gonzalez,F,12th,98.03,100.0,Huang High School
295,Jessica Gonzalez,M,9th,85.85,73.34,Huang High School
296,Susan Williams,M,9th,100.0,56.64,Huang High School
297,Jennifer Moore,F,9th,85.81,67.51,Huang High School
298,Charles Jones,F,12th,65.12,76.75,Huang High School
299,Joseph Johnson,M,9th,66.41,72.48,Huang High School
300,Elizabeth Moore,M,10th,72.54,66.4,Huang High School
301,Richard Jones,M,9th,69.59,76.9,Huang High School
302,James Smith,M,11th,75.36,77.24,Huang High School
303,Sarah Anderson,M,10th,79.88,81.18,Huang High School
304,Thomas Hernandez,F,12th,78.86,79.92,Huang High School
305,Thomas Gonzalez,M,12th,100.0,73.1,Huang High School
306,James Johnson,F,10th,93.91,56.09,Huang High School
307,William Williams,M,9th,83.6,71.21,Huang High School
308,James Thomas,F,9th,79.0,91.0,Huang High School
309,Jennifer Taylor,M,12th,61.41,69.6,Huang High School
310,Robert Jones,F,10th,64.8,47.83,Huang High School
311,Jennifer Williams,M,9th,59.93,63.2,Huang High School
312,Robert Jones,M,11th,53.04,66.42,Huang High School
313,Elizabeth Martinez,F,10th,57.79,75.5,Huang High School
314,Charles Taylor,F,12th,100.0,79.49,Huang High School
315,Susan Rodriguez,M,9th,89.77,62.56,Huang High School
316,Susan Smith,F,9th,76.56,60.78,Huang High School
317,Charles Gonzalez,F,9th,90.88,52.59,Huang High School
318,Richard Brown,M,12th,82.24,97.5,Huang High School
319,James Taylor,F,12th,53.45,77.91,Huang High School
320,Linda Johnson,F,10th,40.67,76.27,Huang High School
321,Linda Miller,M,11th,47.75,61.76,Huang High School
322,Mary Williams,F,11th,61.04,84.16,Huang High School
323,Sarah Lopez,M,12th,56.82,68.16,Huang High School
324,James Lopez,M,10th,74.06,52.1,Huang High School
325,Robert Taylor,F,10th,80.09,80.34,Huang High School
326,Jessica Anderson,F,12th,54.81,87.39,Huang High School
327,Joseph Jones,F,12th,99.41,61.55,Huang High School
328,Susan Johnson,F,9th,55.61,57.59,Huang High School
329,David Jackson,F,11th,77.56,64.3,Huang High School
330,Michael Garcia,M,9th,65.56,56.63,Huang High School
331,Mary Garcia,F,12th,81.43,48.97,Huang High School
332,Sarah Johnson,F,10th,77.64,61.49,Huang High School
333,Sarah Anderson,M,11th,82.6,67.83,Huang High School
334,Charles Johnson,F,10th,81.95,68.8,Huang High School
335,Karen Garcia,F,12th,64.47,86.67,Huang High School
336,James Anderson,M,11th,75.89,55.26,Huang High School
337,Elizabeth Jackson,F,12th,64.66,62.33,Huang High School
338,Thomas Jones,M,10th,52.84,79.69,Huang High School
339,Patricia Martinez,F,12th,80.22,77.84,Huang High School
340,Thomas Martinez,F,9th,57.35,80.98,Huang High School
341,Thomas Martin,F,11th,70.75,67.07,Huang High School
342,Robert Johnson,M,12th,87.4,53.08,Huang High School
343,Jennifer Johnson,M,11th,83.03,67.34,Huang High School
344,Richard Hernandez,M,11th,94.99,71.11,Huang High School
345,David Thomas,F,10th,80.43,54.67,Huang High School
346,David Jackson,M,9th,79.53,78.17,Huang High School
347,Joseph Thomas,M,9th,75.38,62.08,Huang High School
348,David Thomas,F,12th,100.0,74.68,Huang High School
349,Linda Brown,F,11th,49.21,79.38,Huang High School
350,Linda Brown,M,9th,50.02,81.15,Huang High School
351,John Williams,F,12th,52.91,59.43,Huang High School
352,Sarah Jackson,F,12th,60.99,72.16,Huang High School
353,Charles Jones,M,10th,46.03,62.84,Huang High School
354,Sarah Martinez,F,11th,86.22,72.43,Huang High School
355,Jennifer Smith,F,10th,66.08,80.71,Huang High School
356,Robert Rodriguez,F,12th,72.92,73.36,Huang High School
357,Barbara Wilson,M,10th,86.46,79.81,Huang High School
358,Mary Taylor,F,9th,52.3,66.43,Huang High School
359,Susan Gonzalez,F,11th,46.07,91.77,Huang High School
360,William Anderson,M,10th,78.75,62.49,Huang High School
361,Joseph Hernandez,F,11th,79.01,72.12,Huang High School
362,Jessica Taylor,F,11th,76.61,90.92,Huang High School
363,Patricia Smith,F,10th,76.34,71.6,Huang High School
364,Linda Taylor,M,12th,50.53,76.72,Huang High School
365,John Martin,F,12th,81.67,66.58,Huang High School
366,Joseph Anderson,M,12th,97.24,64.29,Huang High School
367,Susan Wilson,F,9th,84.71,88.24,Huang High School
368,Mary Gonzalez,F,12th,43.45,90.07,Huang High School
369,Susan Jackson,M,9th,85.78,62.88,Huang High School
370,Michael Williams,M,11th,67.73,94.75,Huang High School
371,Joseph Wilson,M,9th,69.37,92.51,Huang High School
372,David Anderson,M,11th,69.52,83.71,Huang High School
373,Richard Moore,M,11th,64.57,60.27,Huang High School
374,Jennifer Williams,F,10th,71.52,56.93,Huang High School
375,Charles Anderson,F,11th,48.0,76.23,Huang High School
376,Robert Martinez,F,10th,41.75,37.29,Huang High School
377,Michael Taylor,M,9th,87.99,56.22,Huang High School
378,Michael Lopez,M,12th,92.84,70.57,Huang High School
379,Thomas Gonzalez,F,10th,61.94,80.84,Huang High School
380,Karen Brown,M,12th,100.0,75.9,Huang High School
381,Elizabeth Williams,M,12th,51.01,52.6,Huang High School
382,William Gonzalez,M,9th,60.63,54.1,Huang High School
383,Sarah Anderson,M,12th,61.96,65.82,Huang High School
384,Patricia Anderson,M,10th,38.33,58.26,Huang High School
385,Mary Anderson,F,12th,73.94,66.08,Huang High School
386,Linda Davis,F,9th,75.7,91.36,Huang High School
387,Thomas Lopez,M,11th,95.31,72.51,Huang High School
388,Charles Martinez,M,10th,80.79,94.69,Huang High School
389,William Jones,F,9th,85.83,90.14,Huang High School
390,Jennifer Martin,F,10th,62.97,52.4,Huang High School
391,Mary Gonzalez,F,11th,69.15,69.6,Huang High School
392,Jennifer Jones,M,12th,84.76,74.06,Huang High School
393,James Garcia,M,9th,64.08,67.53,Huang High School
394,Jennifer Thomas,F,11th,91.64,66.8,Huang High School
395,Patricia Hernandez,F,10th,69.64,61.35,Huang High School
396,William Williams,M,12th,55.88,83.61,Huang High School
397,Charles Davis,F,11th,88.68,81.64,Huang High School
398,Robert Brown,F,12th,100.0,75.03,Huang High School
399,Jennifer Johnson,F,9th,60.98,76.77,Huang High School
400,Karen Hernandez,M,11th,66.34,39.47,Huang High School
401,Patricia Anderson,F,11th,59.59,42.66,Huang High School
402,Jennifer Taylor,F,12th,77.14,95.53,Huang High School
403,Jennifer Jackson,M,12th,92.46,75.59,Huang High School
404,Mary Anderson,M,12th,68.2,77.84,Huang High School
405,David Davis,M,9th,58.75,50.3,Huang High School
406,Charles Gonzalez,M,9th,62.45,47.53,Huang High School
407,Barbara Jones,M,12th,54.09,78.36,Huang High School
408,Jennifer Brown,F,11th,56.0,47.34,Huang High School
409,Charles Martin,F,10th,51.26,86.7,Huang High School
410,James Martin,M,11th,59.86,76.82,Huang High School
411,Thomas Lopez,M,11th,65.54,82.77,Huang High School
412,Joseph Smith,F,9th,65.8,67.73,Huang High School
413,Susan Garcia,F,9th,84.5,68.65,Huang High School
414,Robert Hernandez,M,9th,66.47,89.01,Huang High School
415,Patricia Gonzalez,M,9th,78.14,65.58,Huang High School
416,David Williams,F,11th,58.98,100.0,Huang High School
417,James Garcia,M,9th,81.68,51.48,Huang High School
418,Sarah Martinez,M,12th,91.35,71.26,Huang High School
419,Robert Martinez,M,9th,54.8,43.17,Huang High School
420,Barbara Johnson,M,12th,46.69,70.31,Huang High School
421,Richard Davis,F,12th,77.21,85.11,Huang High School
422,Mary Martin,F,12th,70.88,74.16,Huang High School
423,James Jones,M,10th,87.5,77.71,Huang High School
424,William Taylor,M,10th,78.51,81.03,Huang High School
425,William Hernandez,M,10th,77.19,74.91,Huang High School
426,Joseph Garcia,F,10th,42.5,76.96,Huang High School
427,John Taylor,F,11th,63.15,64.27,Huang High School
428,Robert Lopez,M,10th,59.66,79.37,Huang High School
429,Sarah Wilson,M,10th,73.58,61.57,Huang High School
430,David Rodriguez,M,10th,88.6,79.96,Huang High School
431,Mary Lopez,M,12th,83.99,64.64,Huang High School
432,John Williams,F,11th,67.22,78.67,Huang High School
433,James Davis,F,12th,62.77,69.97,Huang High School
434,Linda Hernandez,M,12th,60.81,66.66,Huang High School
435,William Jones,M,12th,88.28,97.46,Huang High School
436,Susan Williams,F,11th,93.68,61.87,Huang High School
437,Robert Jones,M,11th,96.47,76.46,Huang High School
438,Charles Wilson,M,10th,84.82,64.73,Huang High School
439,Patricia Gonzalez,F,12th,60.39,72.3,Huang High School
440,Elizabeth Moore,F,12th,56.28,75.1,Huang High School
441,Linda Davis,F,11th,71.75,79.38,Huang High School
442,Michael Davis,F,11th,86.52,56.72,Huang High School
443,Susan Jackson,M,12th,40.31,65.36,Huang High School
444,Jennifer Smith,F,10th,92.26,98.94,Huang High School
445,Joseph Smith,M,11th,84.74,54.66,Huang High School
446,Thomas Smith,F,11th,66.63,73.59,Huang High School
447,Joseph Johnson,M,11th,32.77,98.88,Huang High School
448,Susan Davis,M,12th,84.92,54.19,Huang High School
449,Linda Jackson,F,12th,90.87,61.77,Huang High School
450,Michael Jackson,F,12th,50.06,79.95,Huang High School
451,Jennifer Garcia,F,10th,95.02,61.88,Huang High School
452,John Miller,F,12th,66.73,70.53,Huang High School
453,Charles Davis,F,12th,62.56,91.68,Huang High School
454,Elizabeth Martin,M,12th,93.23,63.23,Huang High School
455,Joseph Anderson,F,11th,42.53,58.39,Huang High School
456,James Martin,F,9th,69.1,82.32,Huang High School
457,Michael Brown,M,11th,73.23,82.22,Huang High School
458,Jennifer Smith,F,10th,63.42,49.71,Huang High School
459,Robert Smith,M,9th,72.33,57.69,Huang High School
460,Patricia Johnson,M,9th,75.75,74.88,Huang High School
461,Elizabeth Jones,F,10th,60.18,82.87,Huang High School
462,Elizabeth Smith,M,12th,61.6,61.55,Huang High School
463,Jennifer Gonzalez,F,11th,65.45,74.66,Huang High School
464,Joseph Brown,F,10th,67.22,85.74,Huang High School
465,Richard Martin,M,10th,73.36,74.96,Huang High School
466,Joseph Davis,F,10th,60.03,66.7,Huang High School
467,Robert Anderson,F,9th,76.03,53.94,Huang High School
468,Patricia Lopez,F,11th,89.71,66.73,Huang High School
469,Richard Johnson,M,10th,52.89,74.84,Huang High School
470,Charles Jackson,F,11th,86.52,51.18,Huang High School
471,Patricia Brown,M,9th,59.9,59.95,Huang High School
472,David Jones,F,11th,47.19,100.0,Huang High School
473,Karen Hernandez,M,10th,73.84,45.1,Huang High School
474,Elizabeth Davis,F,9th,64.5,68.15,Huang High School
475,Jennifer Garcia,M,9th,72.91,77.1,Huang High School
476,Linda Anderson,M,9th,43.75,83.3,Huang High School
477,Susan Hernandez,F,9th,62.12,80.67,Huang High School
478,Barbara Gonzalez,M,10th,99.47,64.79,Huang High School
479,Linda Moore,F,10th,51.89,83.08,Huang High School
480,James Anderson,F,12th,94.56,69.56,Huang High School
481,Linda Hernandez,F,11th,40.4,71.34,Huang High School
